MTU,BE,BG,CH,CZ,DK,EE,ES,FI,FR,HU,IE,IT,LT,LV,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK
2023-12-14 15:00:00,77.52778950554979,243.5904128319584,19.85968698832021,304.53421922643224,404.5615078670861,148.54724387837678,321.91991948461776,146.3043051284078,68.22784068725306,151.46125179897365,5.13,89.88539554433922,131.40874106305557,88.08439750801503,151.13152027606012,256.8797734052337,232.85454206142597,15.802876089915026,486.6574845206641,442.3022579031421,222.27633004324767,277.9625981925367,6.550587266006563,140.2703830428216,79.9415864666933
2023-12-14 16:00:00,69.55937435143755,251.7157794891437,18.386618365516927,299.90446032490144,391.324687367035,153.2985440870092,277.4912882372524,147.1613107204495,53.92783904955141,143.34866745986886,5.13,76.81722079520483,142.31027569947025,92.4738234268258,151.24776883220554,231.9468228573211,235.23016686685327,16.104318720931985,483.84593913457246,228.69613011565903,219.06480666659013,279.75543316212213,6.449709345643895,138.44222690551564,73.38535239942051
2023-12-14 17:00:00,66.14602100431806,236.67254570839728,17.688052262058065,301.2126471919852,378.6062975358636,160.97808053330212,160.92670230800957,149.67085248520564,42.38414226916732,143.03084062631507,5.13,73.37301168940795,151.1740778977071,90.38331601350664,148.94714456511713,228.16466765830057,241.8293184165836,16.296568495266875,482.47838431432064,106.59353920497657,208.85251057533617,284.255996440128,6.649926325508238,138.2322424826319,72.8021573108108
2023-12-14 18:00:00,66.95464072669711,235.371574941638,17.578953169952214,308.16555544576096,355.76645588343104,160.55006121386626,83.68325370955691,149.71400390485576,36.14257248860255,144.59869838476357,5.130000000000001,74.00701501136977,160.7540289450298,102.88608824512404,150.37583414939454,236.30198520162705,244.79760729231904,16.617263829579443,483.3912637324954,73.51323498032696,190.9849862546436,290.82653953573583,6.56775030125732,135.1950989223769,76.68890679337251
2023-12-14 19:00:00,67.96701904024758,244.72282290815969,18.641761039836037,312.6754641183831,345.2955124278777,161.5632191900544,79.67762064772498,150.98240835011725,35.872641984706924,142.75616729487655,5.13,75.56661183144811,182.01198396565997,106.9695475685885,162.63052173194825,245.13240800128477,247.91637259471807,16.575973879722593,488.28220694307646,77.24561994202166,193.9908365809691,294.2654183043461,6.694915324610783,132.8596214419585,78.48930976840272
2023-12-14 20:00:00,71.70607643970479,251.7998431459165,20.46546281935981,314.5914763475013,343.4909905875889,168.22066668523902,78.36514864728949,148.5670178802195,35.81264378805355,148.3162039725921,5.13,79.17972996958729,287.02607894306385,105.79906863872375,170.4143524421725,279.0818509733435,249.02911506738835,16.688986623771385,491.5745966942515,82.4038369301367,188.58464806702383,286.77817858454193,6.819451119505089,141.04229688145415,79.51536241149022
2023-12-14 21:00:00,76.75283219633425,254.4189564146136,23.087289119287483,330.87860957345106,330.7370244960554,169.71361450130112,79.36409436344162,146.19130286078902,36.2158600551287,160.2657879114676,5.13,82.0182864768674,444.6503320243659,107.3797107626336,187.4522923871548,349.2977371181135,251.10844497593075,16.608503339143173,493.4525806741213,85.51573901302534,181.65001795241827,285.99562835509005,7.148317576364282,143.48625256609003,76.4208534415728
2023-12-14 22:00:00,74.27011249041252,247.54587012149824,23.83899047736324,328.6769253035953,326.1868170037298,170.79253041077953,85.7747374857712,146.41939236523555,36.91774653547536,162.60000979337173,5.13,87.38395759815108,491.4305406883599,110.4032379965491,202.94146295987383,359.90817813734407,278.44927508828573,16.36702921107686,498.26941094868647,93.40376256365477,187.16171415730787,289.8584242631338,7.358741629147761,143.92260563996672,77.02052442992641
2023-12-14 23:00:00,77.6604791154322,244.36566748224035,25.718210285494184,332.7166246464192,323.1558544368279,175.1486309138451,86.34906717503064,146.2725358411596,37.209014067638286,166.18904391558183,5.13,89.93972002879255,429.98629404812846,116.13641333580082,196.6673973652578,349.8914912173238,293.9159624706726,16.236981415428698,504.55481347079774,104.53394223368085,198.11610028043563,289.18679149790404,7.552249205585245,124.44874996965116,77.50327129749667
2023-12-15 00:00:00,76.44769248289734,237.3928304050086,26.135563243915303,339.7959128025689,326.7357180495507,171.7555955655278,88.29863276186974,146.75902123826782,37.467990462446615,163.75439030588373,625.8261337683523,99.90071273301685,687.1227674263661,109.77204367514524,203.4305869005264,371.1927856496871,284.28167036923924,16.62227435543826,496.3212596981312,123.08216198926776,196.1573350026644,291.14775570183224,8.182609084416754,118.9119693636469,81.35123575408035
